127.0.0.1 - - [29/Apr/2024:00:33:19 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:19 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:33:19 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:19 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:33:19 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:33:19 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:19 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:33:33 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:33 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:33:33 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:33 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:33:33 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:33 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:33:33 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:33:33 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:33:33 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:37:32 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:37:32 -0700] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:37:35 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/fonts/icons-linear.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/fonts/icons-fontawesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/js/jquery.js HTTP/1.1" 304 -
